User Input,Bot Response
When and where does Girls Who Code (GWC) meet?,We meet on Tuesday mornings in D103.
What day does GWC meet?,Girls Who Code meets on Tuesday.
What time does GWC meet?,Girls Who Code meets from 7:30 AM to 8:20 AM.
What room does Girls Who Code meet?,GWC meets in room D103.
When do Girls Who Code meetings end?,Girls Who Code meetings end at 8:20 AM when school starts.
How long are Girls Who Code meetings?,GWC meetings are about 50 minutes long.
Who is Redmond High School Girls Who Code's advisor?,"Our advisor is Ms. Weber, the AP CS P teacher."
What is the purpose of Girls Who Code?,"The gender gap in computing is huge, leading girls who are interested in computer science to give up due to alienation. Girls Who Code aims to support and increase the number of women in computer science by not only teaching skills but also fostering sisterhood among its members."
Who can join GWC (Girls Who Code)?,"Anyone can join, from girls to boys to people who are non-binary! However, this club does target girls specifically, considering girls are underrepresented in computer science."
How do I join the club?,"You can join the club by signing up on the forms across the school or emailing one of our board members: 1041602@lwsd.org (president), 1042602@lwsd.org (vice president), 1060660@lwsd.org (secretary), 1060794@lwsd.org (public relations officer)."
Are there any membership fees or costs?,Joining the club is completely free.
What kind of activities does GWC organize?,"We're going to make a chatbot just like this one in the near future! We might have guest speakers and join hackathons, but that is pending."
Do I need any prior coding experience to join?,"No, Girls Who Code welcomes all skill levels, from beginners to experienced coders."
How often does the club meet?,GWC meets weekly.
What skills will I learn in the club?,"You will learn how to protect yourself online, code in Python, make AI, create websites, and much more."
Will there be opportunities for internships or scholarships?,"We can introduce you to some opportunities, but it is up to you to apply and work the job."
Can the club help with college applications?,"If you complete all the projects from this club, it can add up to an impressive portfolio! Portfolios show dedication to the major you are applying to, so GWC can definitely help with college applications."
What requirements are there to run for the board?,You can run for the board if you attend half the meetings every month.
How can I contact the club's leadership?,"To contact the club's leadership, email each of us or send us a Teams chat. Here is the president's email: 1041602@lwsd.org."
What is the history of Girls Who Code?,"Girls Who Code was founded by Reshma Saujani in 2012, who came up with the idea of creating the organization during her run for the United States Congress. Reshma's inspiration stemmed from finding that schools along her campaign route lacked female representation in computer science classrooms."
Do you have any partnerships with other clubs?,We are planning a collaboration with the Design Club on UI/UX design.
Are there any prerequisites to join?,You just need to be currently enrolled in Redmond High School.
What programming languages will I learn?,"We will be teaching Python at the beginning of the year, but we may also dabble in JavaScript, CSS, HTML, and C#."
Are there any certifications or recognitions offered by the club?,"No, but if you join the summer program, you can earn intermediate or beginner-level certificates in Web Development, Cybersecurity, and Data Science + AI."
Will there be opportunities to work on real-world projects?,"Absolutely. After each lesson, we will complete a project, including a website portfolio and a chatbot like this one."
How can I access the meeting materials after I have missed a meeting?,All materials will be posted in Teams.
What type of hackathons does the club participate in?,"There are no mandatory hackathons for this club, but you can use the club to form teams to participate in the hackathons we inform you of."
Can I propose new events or workshops for the club?,Absolutely. Just email the president and co-president describing your idea.
What are the club’s social media handles?,"On Instagram, follow us at @redmondgwc."
What are the roles and responsibilities of the board members?,The President and VP are responsible for leading lessons and planning events. The Secretary is responsible for keeping track of attendance and taking meeting minutes. The PR promotes the club and keeps the club updated on events and changes.
Are there any surveys or feedback forms available?,There will be one given during the first meeting. Be on the lookout for more throughout the year!
What changes or improvements are planned for the club?,The club will complete more projects and cover more topics compared to last year.
How is Girls Who Code different from other computer science clubs?,"Girls Who Code has a Women in STEM presentation every month, which helps young girls feel less alienated and more inspired in a male-dominated field."
Can boys join GWC?,"Despite the club's name, anyone can join."
Why should girls join Girls Who Code?,Many girls interested in computer science feel alienated in the male-dominated computer science clubs of this school. Girls Who Code is a club where girls can form genuine connections and feel safe while coding.
How many members does Girls Who Code have?,Girls Who Code currently about 80 members on Teams.
How are board members elected?,Board members are elected by popular vote.
What are the grades of the board members?,"Two board members are juniors, while the other two are sophomores."
What kind of equipment will members need?,"All equipment will be provided by the school. We are a computer science club, so we will use the PCs in Ms. Weber's room."
What platforms will the club use to communicate with its members?,"Members will be notified of events and meetings through Teams, Outlook, and Instagram."
Why should girls go into computer science?,"Girls should join computer science because the world is moving online, and girls should not be left behind!"
What fields of computer science will Girls Who Code cover?,"GWC will cover video game design, web development, and artificial intelligence as of now. Feel free to leave suggestions for any fields you want us to explore!"
Is Girls Who Code fun?,"We are trying to make Girls Who Code fun by incorporating games and cool programs you can play around with, but ""fun"" is dependent on your passion for computer science."
What is Girls Who Code?,"Girls Who Code (GWC) is a global nonprofit organization dedicated to closing the gender gap in technology by empowering young women through coding education and community support. It offers after-school clubs, summer programs, and college-level initiatives that teach programming skills, web development, and other tech competencies. By fostering a supportive and inclusive environment, GWC aims to build confidence in girls and increase their participation in computer science, thereby addressing the gender imbalance in the tech industry and inspiring future female leaders."
Why should I join Girls Who Code?,"In Girls Who Code, you will complete many projects that can be useful for college applications. Furthermore, the sisterhood in GWC will help you get a taste of belonging in a male-dominated field, allowing you to learn teamwork skills and strengthen your passion with other girls."
Why is Girls Who Code teaching Python rather than Java?,Python is easier to learn as a beginner and ties in nicely with the artificial intelligence and web development units later in the year. It is also a waste of time for AP CS A students to be relearning Java in GWC.
Will Girls Who Code offer support for AP CS A and CS P students?,"Our secretary Emily and our PR officer Stephanie have both taken AP CS P, so if you need help, feel free to reach out to them. The vice president Amruta and president Grace have both taken AP CS A. We will offer study sessions, test-taking strategies, and study materials for both AP CS A and CS P a month before the AP tests."
Can non-binary people join GWC?,"The GWC website states, 'Girls Who Code is a nonprofit organization that offers coding programs, clubs, and events for girls and nonbinary students of all ages.' So yes, non-binary people can absolutely join Girls Who Code."
When is the first meeting?,The first meeting takes place on the first of October.
What time and location is the Girls Who Code meeting?,Girls Who Code meets in room D103 every Tuesday before school.
On which day does Girls Who Code meet?,Girls Who Code gathers every Tuesday.
At what time does Girls Who Code start?,Our meeting time is from 7:30 AM to 8:20 AM.
In which room will Girls Who Code meetings be held?,The meetings are conducted in room D103.
What time do Girls Who Code meetings conclude?,Meetings conclude at 8:20 AM when school begins.
What is the duration of each Girls Who Code meeting?,Each Girls Who Code meeting lasts about 50 minutes.
Who advises the Redmond High School Girls Who Code club?,"Ms. Weber, who teaches AP CS P, is our advisor."
Why was Girls Who Code created?,"The gender gap in computing is large, often causing girls interested in computer science to feel isolated and discouraged. Girls Who Code aims to bridge this gap by not only teaching technical skills but also building a supportive community among its members."
Who is eligible to join Girls Who Code?,"Girls, boys, and non-binary individuals are all welcome to join! However, the club primarily focuses on supporting girls, as they are underrepresented in the field of computer science."
What steps do I need to take to join the Girls Who Code club?,"You can join by signing up through the forms available around the school or by emailing one of our board members. The emails are as follows: 1041602@lwsd.org (president), 1042602@lwsd.org (vice president), 1060660@lwsd.org (secretary), 1060794@lwsd.org (public relations officer)."
